[Connect DataFile][1.1]
Date:	11.03.2026
Time:	11:54:29,321
Unit:	°C
Resolution:	0,037037
Values:	1
Time	Area 1	
00:00:08,925	512,5	
00:00:08,962	512,5	
00:00:08,999	512,5	
00:00:09,037	512,5	
00:00:09,074	512,5	
00:00:09,111	512,6	
00:00:09,148	512,6	
00:00:09,185	512,6	
00:00:09,222	512,6	
00:00:09,259	512,6	
00:00:09,296	512,6	
00:00:09,333	512,6	
00:00:09,370	512,6	
00:00:09,407	512,6	
00:00:09,444	512,6	
00:00:09,481	512,6	
00:00:09,518	512,6	
00:00:09,555	512,6	
00:00:09,592	512,6	
00:00:09,629	512,6	
00:00:09,666	512,6	
00:00:09,703	512,6	
00:00:09,740	512,6	
00:00:09,777	512,6	
00:00:09,814	512,6	
00:00:09,851	512,6	
00:00:09,888	512,7	
00:00:09,925	512,7	
00:00:09,962	512,7	
00:00:09,999	512,7	
00:00:10,037	512,7	
00:00:10,074	512,7	
00:00:10,111	512,7	
00:00:10,148	512,7	
00:00:10,185	512,7	
00:00:10,222	512,7	
00:00:10,259	512,7	
00:00:10,296	512,7	
00:00:10,333	512,7	
00:00:10,370	512,7	
00:00:10,407	512,7	
00:00:10,444	512,7	
00:00:10,481	512,7	
00:00:10,518	512,7	
00:00:10,555	512,7	
00:00:10,592	512,7	
00:00:10,629	512,7	
00:00:10,666	512,7	
00:00:10,703	512,8	
00:00:10,740	512,8	
00:00:10,777	512,8	
00:00:10,814	512,8	
00:00:10,851	512,8	
00:00:10,888	512,8	
00:00:10,925	512,8	
00:00:10,962	512,8	
00:00:10,999	512,8	
00:00:11,037	512,8	
00:00:11,074	512,8	
00:00:11,111	512,8	
00:00:11,148	512,8	
00:00:11,185	512,8	
00:00:11,222	512,8	
00:00:11,259	512,8	
00:00:11,296	512,8	
00:00:11,333	512,8	
00:00:11,370	512,9	
00:00:11,407	512,9	
00:00:11,444	512,9	
00:00:11,481	512,9	
00:00:11,518	512,9	
00:00:11,555	512,9	
00:00:11,592	512,9	
00:00:11,629	512,9	
00:00:11,666	512,9	
00:00:11,703	512,9	
00:00:11,740	512,9	
00:00:11,777	512,9	
00:00:11,814	513,0	
00:00:11,851	513,0	
00:00:11,888	513,0	
00:00:11,925	513,0	
00:00:11,962	513,0	
00:00:11,999	513,0	
00:00:12,037	513,0	
00:00:12,074	513,0	
00:00:12,111	513,0	
00:00:12,148	513,0	
00:00:12,185	513,0	
00:00:12,222	513,0	
00:00:12,259	513,0	
00:00:12,296	513,1	
00:00:12,333	513,1	
00:00:12,370	513,1	
00:00:12,407	513,1	
00:00:12,444	513,1	
00:00:12,481	513,1	
00:00:12,518	513,1	
00:00:12,555	513,1	
00:00:12,592	513,1	
00:00:12,629	513,1	
00:00:12,666	513,1	
00:00:12,703	513,1	
00:00:12,740	513,2	
00:00:12,777	513,2	
00:00:12,814	513,2	
00:00:12,851	513,2	
00:00:12,888	513,2	
00:00:12,925	513,2	
00:00:12,962	513,2	
00:00:12,999	513,2	
00:00:13,037	513,2	
00:00:13,074	513,2	
00:00:13,111	513,2	
00:00:13,148	513,2	
00:00:13,185	513,2	
00:00:13,222	513,3	
00:00:13,259	513,3	
00:00:13,296	513,3	
00:00:13,333	513,3	
00:00:13,370	513,3	
00:00:13,407	513,3	
00:00:13,444	513,3	
00:00:13,481	513,3	
00:00:13,518	513,3	
00:00:13,555	513,3	
00:00:13,592	513,3	
00:00:13,629	513,3	
00:00:13,666	513,4	
00:00:13,703	513,4	
00:00:13,740	513,4	
00:00:13,777	513,4	
00:00:13,814	513,4	
00:00:13,851	513,4	
00:00:13,888	513,4	
00:00:13,925	513,4	
00:00:13,962	513,4	
00:00:13,999	513,4	
00:00:14,037	513,4	
00:00:14,074	513,4	
00:00:14,111	513,4	
00:00:14,148	513,5	
00:00:14,185	513,5	
00:00:14,222	513,5	
00:00:14,259	513,5	
00:00:14,296	513,5	
00:00:14,333	513,5	
00:00:14,370	513,5	
00:00:14,407	513,5	
00:00:14,444	513,5	
00:00:14,481	513,5	
00:00:14,518	513,5	
00:00:14,555	513,5	
00:00:14,592	513,6	
00:00:14,629	513,6	
00:00:14,666	513,6	
00:00:14,703	513,6	
00:00:14,740	513,6	
00:00:14,777	513,6	
00:00:14,814	513,6	
00:00:14,851	513,6	
00:00:14,888	513,6	
00:00:14,925	513,6	
00:00:14,962	513,6	
00:00:14,999	513,6	
00:00:15,037	513,6	
00:00:15,074	513,7	
00:00:15,111	513,7	
00:00:15,148	513,7	
00:00:15,185	513,7	
00:00:15,222	513,7	
00:00:15,259	513,7	
00:00:15,296	513,7	
00:00:15,333	513,7	
00:00:15,370	513,7	
00:00:15,407	513,7	
00:00:15,444	513,7	
00:00:15,481	513,7	
00:00:15,518	513,8	
00:00:15,555	513,8	
00:00:15,592	513,8	
00:00:15,629	513,8	
00:00:15,666	513,8	
00:00:15,703	513,8	
00:00:15,740	513,8	
00:00:15,777	513,8	
00:00:15,814	513,8	
00:00:15,851	513,8	
00:00:15,888	513,8	
00:00:15,925	513,8	
00:00:15,962	513,8	
00:00:15,999	513,9	
00:00:16,037	513,9	
00:00:16,074	513,9	
00:00:16,111	513,9	
00:00:16,148	513,9	
00:00:16,185	513,9	
00:00:16,222	513,9	
00:00:16,259	513,9	
00:00:16,296	513,9	
00:00:16,333	513,9	
00:00:16,370	513,9	
00:00:16,407	513,9	
00:00:16,444	514,0	
00:00:16,481	514,0	
00:00:16,518	514,0	
00:00:16,555	514,0	
00:00:16,592	514,0	
00:00:16,629	514,0	
00:00:16,666	514,0	
00:00:16,703	514,0	
00:00:16,740	514,0	
00:00:16,777	514,0	
00:00:16,814	514,0	
00:00:16,851	514,0	
00:00:16,888	514,0	
00:00:16,925	514,1	
00:00:16,962	514,1	
00:00:16,999	514,1	
00:00:17,037	514,1	
00:00:17,074	514,1	
00:00:17,111	514,1	
00:00:17,148	514,1	
00:00:17,185	514,1	
00:00:17,222	514,1	
00:00:17,259	514,1	
00:00:17,296	514,1	
00:00:17,333	514,1	
00:00:17,370	514,2	
00:00:17,407	514,2	
00:00:17,444	514,2	
00:00:17,481	514,2	
00:00:17,518	514,2	
00:00:17,555	514,2	
00:00:17,592	514,2	
00:00:17,629	514,2	
00:00:17,666	514,2	
00:00:17,703	514,2	
00:00:17,740	514,2	
00:00:17,777	514,2	
00:00:17,814	514,2	
00:00:17,851	514,2	
00:00:17,888	514,3	
00:00:17,925	514,3	
