[Connect DataFile][1.1]
Date:	11.03.2026
Time:	11:54:29,321
Unit:	°C
Resolution:	0,037037
Values:	1
Time	Area 1	
00:04:31,592	554,5	
00:04:31,629	554,5	
00:04:31,666	554,5	
00:04:31,703	554,5	
00:04:31,740	554,5	
00:04:31,777	554,5	
00:04:31,814	554,5	
00:04:31,851	554,5	
00:04:31,888	554,6	
00:04:31,925	554,6	
00:04:31,962	554,6	
00:04:31,999	554,6	
00:04:32,036	554,6	
00:04:32,073	554,6	
00:04:32,110	554,6	
00:04:32,147	554,6	
00:04:32,184	554,6	
00:04:32,221	554,7	
00:04:32,258	554,7	
00:04:32,296	554,7	
00:04:32,333	554,7	
00:04:32,370	554,7	
00:04:32,407	554,7	
00:04:32,444	554,7	
00:04:32,481	554,7	
00:04:32,518	554,7	
00:04:32,555	554,7	
00:04:32,592	554,8	
00:04:32,629	554,8	
00:04:32,666	554,8	
00:04:32,703	554,8	
00:04:32,740	554,8	
00:04:32,777	554,8	
00:04:32,814	554,8	
00:04:32,851	554,8	
00:04:32,888	554,9	
00:04:32,925	554,9	
00:04:32,962	554,9	
00:04:32,999	554,9	
00:04:33,036	554,9	
00:04:33,073	554,9	
00:04:33,110	554,9	
00:04:33,147	554,9	
00:04:33,184	554,9	
00:04:33,221	555,0	
00:04:33,258	555,0	
00:04:33,296	555,0	
00:04:33,333	555,0	
00:04:33,370	555,0	
00:04:33,407	555,0	
00:04:33,444	555,0	
00:04:33,481	555,0	
00:04:33,518	555,0	
00:04:33,555	555,0	
00:04:33,592	555,1	
00:04:33,629	555,1	
00:04:33,666	555,1	
00:04:33,703	555,1	
00:04:33,740	555,1	
00:04:33,777	555,1	
00:04:33,814	555,1	
00:04:33,851	555,1	
00:04:33,888	555,1	
00:04:33,925	555,2	
00:04:33,962	555,2	
00:04:33,999	555,2	
00:04:34,036	555,2	
00:04:34,073	555,2	
00:04:34,110	555,2	
00:04:34,147	555,2	
00:04:34,184	555,2	
00:04:34,221	555,2	
00:04:34,258	555,3	
00:04:34,296	555,3	
00:04:34,333	555,3	
00:04:34,370	555,3	
00:04:34,407	555,3	
00:04:34,444	555,3	
00:04:34,481	555,3	
00:04:34,518	555,3	
00:04:34,555	555,3	
00:04:34,592	555,3	
00:04:34,629	555,4	
00:04:34,666	555,4	
00:04:34,703	555,4	
00:04:34,740	555,4	
00:04:34,777	555,4	
00:04:34,814	555,4	
00:04:34,851	555,4	
00:04:34,888	555,4	
00:04:34,925	555,5	
00:04:34,962	555,5	
00:04:34,999	555,5	
00:04:35,036	555,5	
00:04:35,073	555,5	
00:04:35,110	555,5	
00:04:35,147	555,5	
00:04:35,184	555,5	
00:04:35,221	555,5	
00:04:35,258	555,6	
00:04:35,296	555,6	
00:04:35,333	555,6	
00:04:35,370	555,6	
00:04:35,407	555,6	
00:04:35,444	555,6	
00:04:35,481	555,6	
00:04:35,518	555,6	
00:04:35,555	555,6	
00:04:35,592	555,6	
00:04:35,629	555,7	
00:04:35,666	555,7	
00:04:35,703	555,7	
00:04:35,740	555,7	
00:04:35,777	555,7	
00:04:35,814	555,7	
00:04:35,851	555,7	
00:04:35,888	555,7	
00:04:35,925	555,8	
00:04:35,962	555,8	
00:04:35,999	555,8	
00:04:36,036	555,8	
00:04:36,073	555,8	
00:04:36,110	555,8	
00:04:36,147	555,8	
00:04:36,184	555,8	
00:04:36,221	555,8	
00:04:36,258	555,9	
00:04:36,296	555,9	
00:04:36,333	555,9	
00:04:36,370	555,9	
00:04:36,407	555,9	
00:04:36,444	555,9	
00:04:36,481	555,9	
00:04:36,518	555,9	
00:04:36,555	555,9	
00:04:36,592	555,9	
00:04:36,629	556,0	
00:04:36,666	556,0	
00:04:36,703	556,0	
00:04:36,740	556,0	
00:04:36,777	556,0	
00:04:36,814	556,0	
00:04:36,851	556,0	
00:04:36,888	556,0	
00:04:36,925	556,1	
00:04:36,962	556,1	
00:04:36,999	556,1	
00:04:37,036	556,1	
00:04:37,073	556,1	
00:04:37,110	556,1	
00:04:37,147	556,1	
00:04:37,184	556,1	
00:04:37,221	556,1	
00:04:37,258	556,2	
00:04:37,296	556,2	
00:04:37,333	556,2	
00:04:37,370	556,2	
00:04:37,407	556,2	
00:04:37,444	556,2	
00:04:37,481	556,2	
00:04:37,518	556,2	
00:04:37,555	556,2	
00:04:37,592	556,3	
00:04:37,629	556,3	
00:04:37,666	556,3	
00:04:37,703	556,3	
00:04:37,740	556,3	
00:04:37,777	556,3	
00:04:37,814	556,3	
00:04:37,851	556,3	
00:04:37,888	556,3	
00:04:37,925	556,4	
00:04:37,962	556,4	
00:04:37,999	556,4	
00:04:38,036	556,4	
00:04:38,073	556,4	
00:04:38,110	556,4	
00:04:38,147	556,4	
00:04:38,184	556,4	
00:04:38,221	556,4	
00:04:38,258	556,5	
00:04:38,296	556,5	
00:04:38,333	556,5	
00:04:38,370	556,5	
00:04:38,407	556,5	
00:04:38,444	556,5	
00:04:38,481	556,5	
00:04:38,518	556,5	
00:04:38,555	556,5	
00:04:38,592	556,6	
00:04:38,629	556,6	
00:04:38,666	556,6	
00:04:38,703	556,6	
00:04:38,740	556,6	
00:04:38,777	556,6	
00:04:38,814	556,6	
00:04:38,851	556,6	
00:04:38,888	556,6	
00:04:38,925	556,7	
00:04:38,962	556,7	
00:04:38,999	556,7	
00:04:39,036	556,7	
00:04:39,073	556,7	
00:04:39,110	556,7	
00:04:39,147	556,7	
00:04:39,184	556,7	
00:04:39,221	556,7	
00:04:39,258	556,8	
00:04:39,296	556,8	
00:04:39,333	556,8	
00:04:39,370	556,8	
00:04:39,407	556,8	
00:04:39,444	556,8	
00:04:39,481	556,8	
00:04:39,518	556,8	
00:04:39,555	556,8	
00:04:39,592	556,9	
00:04:39,629	556,9	
00:04:39,666	556,9	
00:04:39,703	556,9	
00:04:39,740	556,9	
00:04:39,777	556,9	
00:04:39,814	556,9	
00:04:39,851	556,9	
00:04:39,888	556,9	
00:04:39,925	557,0	
00:04:39,962	557,0	
00:04:39,999	557,0	
00:04:40,036	557,0	
00:04:40,073	557,0	
00:04:40,110	557,0	
00:04:40,147	557,0	
00:04:40,184	557,0	
00:04:40,221	557,0	
00:04:40,258	557,1	
00:04:40,296	557,1	
00:04:40,333	557,1	
00:04:40,370	557,1	
00:04:40,407	557,1	
00:04:40,444	557,1	
00:04:40,481	557,1	
00:04:40,518	557,1	
00:04:40,555	557,1	
00:04:40,592	557,1	
00:04:40,629	557,2	
00:04:40,666	557,2	
00:04:40,703	557,2	
00:04:40,740	557,2	
00:04:40,777	557,2	
00:04:40,814	557,2	
00:04:40,851	557,2	
00:04:40,888	557,2	
00:04:40,925	557,2	
00:04:40,962	557,3	
00:04:40,999	557,3	
00:04:41,036	557,3	
00:04:41,073	557,3	
00:04:41,110	557,3	
00:04:41,147	557,3	
00:04:41,184	557,3	
00:04:41,221	557,3	
00:04:41,258	557,3	
00:04:41,296	557,4	
00:04:41,333	557,4	
00:04:41,370	557,4	
00:04:41,407	557,4	
00:04:41,444	557,4	
00:04:41,481	557,4	
00:04:41,518	557,4	
00:04:41,555	557,4	
00:04:41,592	557,4	
00:04:41,629	557,5	
00:04:41,666	557,5	
00:04:41,703	557,5	
00:04:41,740	557,5	
00:04:41,777	557,5	
00:04:41,814	557,5	
00:04:41,851	557,5	
00:04:41,888	557,5	
00:04:41,925	557,5	
00:04:41,962	557,5	
00:04:41,999	557,6	
00:04:42,036	557,6	
00:04:42,073	557,6	
00:04:42,110	557,6	
00:04:42,147	557,6	
00:04:42,184	557,6	
00:04:42,221	557,6	
00:04:42,258	557,6	
00:04:42,296	557,7	
00:04:42,333	557,7	
00:04:42,370	557,7	
00:04:42,407	557,7	
00:04:42,444	557,7	
00:04:42,481	557,7	
00:04:42,518	557,7	
00:04:42,555	557,7	
00:04:42,592	557,7	
00:04:42,629	557,8	
00:04:42,666	557,8	
00:04:42,703	557,8	
00:04:42,740	557,8	
00:04:42,777	557,8	
00:04:42,814	557,8	
00:04:42,851	557,8	
00:04:42,888	557,8	
00:04:42,925	557,8	
00:04:42,962	557,8	
00:04:42,999	557,9	
00:04:43,036	557,9	
00:04:43,073	557,9	
00:04:43,110	557,9	
00:04:43,147	557,9	
00:04:43,184	557,9	
00:04:43,221	557,9	
00:04:43,258	557,9	
00:04:43,296	558,0	
00:04:43,333	558,0	
00:04:43,370	558,0	
00:04:43,407	558,0	
00:04:43,444	558,0	
00:04:43,481	558,0	
00:04:43,518	558,0	
00:04:43,555	558,0	
00:04:43,592	558,0	
00:04:43,629	558,1	
00:04:43,666	558,1	
00:04:43,703	558,1	
00:04:43,740	558,1	
00:04:43,777	558,1	
00:04:43,814	558,1	
00:04:43,851	558,1	
00:04:43,888	558,1	
00:04:43,925	558,1	
00:04:43,962	558,1	
00:04:43,999	558,2	
00:04:44,036	558,2	
00:04:44,073	558,2	
00:04:44,110	558,2	
00:04:44,147	558,2	
00:04:44,184	558,2	
00:04:44,221	558,2	
00:04:44,258	558,2	
00:04:44,296	558,3	
00:04:44,333	558,3	
00:04:44,370	558,3	
00:04:44,407	558,3	
00:04:44,444	558,3	
00:04:44,481	558,3	
00:04:44,518	558,3	
00:04:44,555	558,3	
00:04:44,592	558,3	
00:04:44,629	558,4	
00:04:44,666	558,4	
00:04:44,703	558,4	
00:04:44,740	558,4	
00:04:44,777	558,4	
00:04:44,814	558,4	
00:04:44,851	558,4	
00:04:44,888	558,4	
00:04:44,925	558,4	
00:04:44,962	558,4	
00:04:44,999	558,5	
00:04:45,036	558,5	
00:04:45,073	558,5	
00:04:45,110	558,5	
00:04:45,147	558,5	
00:04:45,184	558,5	
00:04:45,221	558,5	
00:04:45,258	558,5	
00:04:45,296	558,6	
00:04:45,333	558,6	
00:04:45,370	558,6	
00:04:45,407	558,6	
00:04:45,444	558,6	
00:04:45,481	558,6	
00:04:45,518	558,6	
00:04:45,555	558,6	
00:04:45,592	558,6	
00:04:45,629	558,7	
00:04:45,666	558,7	
00:04:45,703	558,7	
00:04:45,740	558,7	
00:04:45,777	558,7	
00:04:45,814	558,7	
00:04:45,851	558,7	
00:04:45,888	558,7	
00:04:45,925	558,7	
00:04:45,962	558,8	
00:04:45,999	558,8	
00:04:46,036	558,8	
00:04:46,073	558,8	
00:04:46,110	558,8	
00:04:46,147	558,8	
00:04:46,184	558,8	
00:04:46,221	558,8	
00:04:46,258	558,8	
00:04:46,296	558,9	
00:04:46,333	558,9	
00:04:46,370	558,9	
00:04:46,407	558,9	
00:04:46,444	558,9	
00:04:46,481	558,9	
00:04:46,518	558,9	
00:04:46,555	558,9	
00:04:46,592	558,9	
00:04:46,629	559,0	
00:04:46,666	559,0	
00:04:46,703	559,0	
00:04:46,740	559,0	
00:04:46,777	559,0	
00:04:46,814	559,0	
00:04:46,851	559,0	
00:04:46,888	559,0	
00:04:46,925	559,0	
00:04:46,962	559,1	
00:04:46,999	559,1	
00:04:47,036	559,1	
00:04:47,073	559,1	
00:04:47,110	559,1	
00:04:47,147	559,1	
00:04:47,184	559,1	
00:04:47,221	559,1	
00:04:47,258	559,1	
00:04:47,296	559,1	
00:04:47,333	559,2	
00:04:47,370	559,2	
00:04:47,407	559,2	
00:04:47,444	559,2	
00:04:47,481	559,2	
00:04:47,518	559,2	
00:04:47,555	559,2	
00:04:47,592	559,2	
00:04:47,629	559,2	
00:04:47,666	559,3	
00:04:47,703	559,3	
00:04:47,740	559,3	
00:04:47,777	559,3	
00:04:47,814	559,3	
00:04:47,851	559,3	
00:04:47,888	559,3	
00:04:47,925	559,3	
00:04:47,962	559,3	
00:04:47,999	559,4	
00:04:48,036	559,4	
00:04:48,073	559,4	
00:04:48,110	559,4	
00:04:48,147	559,4	
00:04:48,184	559,4	
00:04:48,221	559,4	
00:04:48,258	559,4	
00:04:48,296	559,4	
00:04:48,333	559,5	
00:04:48,370	559,5	
00:04:48,407	559,5	
00:04:48,444	559,5	
00:04:48,481	559,5	
00:04:48,518	559,5	
00:04:48,555	559,5	
00:04:48,592	559,5	
00:04:48,629	559,5	
00:04:48,666	559,6	
00:04:48,703	559,6	
00:04:48,740	559,6	
00:04:48,777	559,6	
00:04:48,814	559,6	
00:04:48,851	559,6	
00:04:48,888	559,6	
00:04:48,925	559,6	
00:04:48,962	559,6	
00:04:48,999	559,7	
00:04:49,036	559,7	
00:04:49,073	559,7	
00:04:49,110	559,7	
00:04:49,147	559,7	
00:04:49,184	559,7	
00:04:49,221	559,7	
00:04:49,258	559,7	
00:04:49,296	559,7	
00:04:49,333	559,8	
00:04:49,370	559,8	
00:04:49,407	559,8	
00:04:49,444	559,8	
00:04:49,481	559,8	
00:04:49,518	559,8	
00:04:49,555	559,8	
00:04:49,592	559,8	
00:04:49,629	559,8	
00:04:49,666	559,9	
00:04:49,703	559,9	
00:04:49,740	559,9	
00:04:49,777	559,9	
00:04:49,814	559,9	
00:04:49,851	559,9	
00:04:49,888	559,9	
00:04:49,925	559,9	
00:04:49,962	559,9	
00:04:49,999	560,0	
00:04:50,036	560,0	
00:04:50,073	560,0	
00:04:50,110	560,0	
00:04:50,147	560,0	
00:04:50,184	560,0	
00:04:50,221	560,0	
00:04:50,258	560,0	
00:04:50,296	560,0	
00:04:50,333	560,0	
00:04:50,370	560,1	
00:04:50,407	560,1	
00:04:50,444	560,1	
00:04:50,481	560,1	
00:04:50,518	560,1	
00:04:50,555	560,1	
00:04:50,592	560,1	
00:04:50,629	560,1	
00:04:50,666	560,2	
00:04:50,703	560,2	
00:04:50,740	560,2	
00:04:50,777	560,2	
00:04:50,814	560,2	
00:04:50,851	560,2	
00:04:50,888	560,2	
00:04:50,925	560,2	
00:04:50,962	560,2	
00:04:50,999	560,3	
00:04:51,036	560,3	
00:04:51,073	560,3	
00:04:51,110	560,3	
00:04:51,147	560,3	
00:04:51,184	560,3	
00:04:51,221	560,3	
00:04:51,258	560,3	
00:04:51,296	560,3	
00:04:51,333	560,3	
00:04:51,370	560,4	
00:04:51,407	560,4	
00:04:51,444	560,4	
00:04:51,481	560,4	
00:04:51,518	560,4	
00:04:51,555	560,4	
00:04:51,592	560,4	
00:04:51,629	560,4	
00:04:51,666	560,5	
00:04:51,703	560,5	
00:04:51,740	560,5	
00:04:51,777	560,5	
00:04:51,814	560,5	
00:04:51,851	560,5	
00:04:51,888	560,5	
00:04:51,925	560,5	
00:04:51,962	560,5	
00:04:51,999	560,6	
00:04:52,036	560,6	
00:04:52,073	560,6	
00:04:52,110	560,6	
00:04:52,147	560,6	
00:04:52,184	560,6	
00:04:52,221	560,6	
00:04:52,258	560,6	
00:04:52,296	560,6	
00:04:52,333	560,6	
00:04:52,370	560,7	
00:04:52,407	560,7	
00:04:52,444	560,7	
00:04:52,481	560,7	
00:04:52,518	560,7	
00:04:52,555	560,7	
00:04:52,592	560,7	
00:04:52,629	560,7	
00:04:52,666	560,8	
00:04:52,703	560,8	
00:04:52,740	560,8	
00:04:52,777	560,8	
00:04:52,814	560,8	
00:04:52,851	560,8	
00:04:52,888	560,8	
00:04:52,925	560,8	
00:04:52,962	560,8	
00:04:52,999	560,9	
00:04:53,036	560,9	
00:04:53,073	560,9	
00:04:53,110	560,9	
00:04:53,147	560,9	
00:04:53,184	560,9	
00:04:53,221	560,9	
00:04:53,258	560,9	
00:04:53,296	560,9	
00:04:53,333	560,9	
00:04:53,370	561,0	
00:04:53,407	561,0	
00:04:53,444	561,0	
00:04:53,481	561,0	
00:04:53,518	561,0	
00:04:53,555	561,0	
00:04:53,592	561,0	
00:04:53,629	561,0	
00:04:53,666	561,1	
00:04:53,703	561,1	
00:04:53,740	561,1	
00:04:53,777	561,1	
00:04:53,814	561,1	
00:04:53,851	561,1	
00:04:53,888	561,1	
00:04:53,925	561,1	
00:04:53,962	561,1	
00:04:53,999	561,2	
00:04:54,036	561,2	
00:04:54,073	561,2	
00:04:54,110	561,2	
00:04:54,147	561,2	
00:04:54,184	561,2	
00:04:54,221	561,2	
00:04:54,258	561,2	
00:04:54,296	561,2	
00:04:54,333	561,2	
00:04:54,370	561,2	
00:04:54,407	561,3	
00:04:54,444	561,3	
00:04:54,481	561,3	
00:04:54,518	561,3	
00:04:54,555	561,3	
00:04:54,592	561,3	
00:04:54,629	561,3	
00:04:54,666	561,3	
00:04:54,703	561,4	
00:04:54,740	561,4	
00:04:54,777	561,4	
00:04:54,814	561,4	
00:04:54,851	561,4	
00:04:54,888	561,4	
00:04:54,925	561,4	
00:04:54,962	561,4	
00:04:54,999	561,4	
00:04:55,036	561,5	
00:04:55,073	561,5	
00:04:55,110	561,5	
00:04:55,147	561,5	
00:04:55,184	561,5	
00:04:55,221	561,5	
00:04:55,258	561,5	
00:04:55,296	561,5	
00:04:55,333	561,5	
00:04:55,370	561,6	
00:04:55,407	561,6	
00:04:55,444	561,6	
00:04:55,481	561,6	
00:04:55,518	561,6	
00:04:55,555	561,6	
00:04:55,592	561,6	
00:04:55,629	561,6	
00:04:55,666	561,6	
00:04:55,703	561,7	
00:04:55,740	561,7	
00:04:55,777	561,7	
00:04:55,814	561,7	
00:04:55,851	561,7	
00:04:55,888	561,7	
00:04:55,925	561,7	
00:04:55,962	561,7	
00:04:55,999	561,7	
00:04:56,036	561,8	
00:04:56,073	561,8	
00:04:56,110	561,8	
00:04:56,147	561,8	
00:04:56,184	561,8	
00:04:56,221	561,8	
00:04:56,258	561,8	
00:04:56,296	561,8	
00:04:56,333	561,8	
00:04:56,370	561,9	
00:04:56,407	561,9	
00:04:56,444	561,9	
00:04:56,481	561,9	
00:04:56,518	561,9	
00:04:56,555	561,9	
00:04:56,592	561,9	
00:04:56,629	561,9	
00:04:56,666	561,9	
00:04:56,703	562,0	
00:04:56,740	562,0	
00:04:56,777	562,0	
00:04:56,814	562,0	
00:04:56,851	562,0	
00:04:56,888	562,0	
00:04:56,925	562,0	
00:04:56,962	562,0	
00:04:56,999	562,0	
00:04:57,036	562,1	
00:04:57,073	562,1	
00:04:57,110	562,1	
00:04:57,147	562,1	
00:04:57,184	562,1	
00:04:57,221	562,1	
00:04:57,258	562,1	
00:04:57,295	562,1	
00:04:57,333	562,1	
00:04:57,370	562,2	
00:04:57,407	562,2	
00:04:57,444	562,2	
00:04:57,481	562,2	
00:04:57,518	562,2	
00:04:57,555	562,2	
00:04:57,592	562,2	
00:04:57,629	562,2	
00:04:57,666	562,2	
00:04:57,703	562,3	
00:04:57,740	562,3	
00:04:57,777	562,3	
00:04:57,814	562,3	
00:04:57,851	562,3	
00:04:57,888	562,3	
00:04:57,925	562,3	
00:04:57,962	562,3	
00:04:57,999	562,3	
00:04:58,036	562,4	
00:04:58,073	562,4	
00:04:58,110	562,4	
00:04:58,147	562,4	
00:04:58,184	562,4	
00:04:58,221	562,4	
00:04:58,258	562,4	
00:04:58,295	562,4	
00:04:58,333	562,4	
00:04:58,370	562,5	
00:04:58,407	562,5	
00:04:58,444	562,5	
00:04:58,481	562,5	
00:04:58,518	562,5	
00:04:58,555	562,5	
00:04:58,592	562,5	
00:04:58,629	562,5	
00:04:58,666	562,5	
00:04:58,703	562,5	
00:04:58,740	562,6	
00:04:58,777	562,6	
00:04:58,814	562,6	
00:04:58,851	562,6	
00:04:58,888	562,6	
00:04:58,925	562,6	
00:04:58,962	562,6	
00:04:58,999	562,6	
00:04:59,036	562,7	
00:04:59,073	562,7	
00:04:59,110	562,7	
00:04:59,147	562,7	
00:04:59,184	562,7	
00:04:59,221	562,7	
00:04:59,258	562,7	
00:04:59,295	562,7	
00:04:59,333	562,7	
00:04:59,370	562,8	
00:04:59,407	562,8	
00:04:59,444	562,8	
00:04:59,481	562,8	
00:04:59,518	562,8	
00:04:59,555	562,8	
00:04:59,592	562,8	
00:04:59,629	562,8	
00:04:59,666	562,8	
00:04:59,703	562,8	
00:04:59,740	562,9	
00:04:59,777	562,9	
00:04:59,814	562,9	
00:04:59,851	562,9	
00:04:59,888	562,9	
00:04:59,925	562,9	
00:04:59,962	562,9	
00:04:59,999	562,9	
00:05:00,036	563,0	
00:05:00,073	563,0	
00:05:00,110	563,0	
00:05:00,147	563,0	
00:05:00,184	563,0	
00:05:00,221	563,0	
00:05:00,258	563,0	
00:05:00,295	563,0	
00:05:00,333	563,0	
00:05:00,370	563,1	
00:05:00,407	563,1	
00:05:00,444	563,1	
00:05:00,481	563,1	
00:05:00,518	563,1	
00:05:00,555	563,1	
00:05:00,592	563,1	
00:05:00,629	563,1	
00:05:00,666	563,1	
00:05:00,703	563,1	
00:05:00,740	563,2	
00:05:00,777	563,2	
00:05:00,814	563,2	
00:05:00,851	563,2	
00:05:00,888	563,2	
00:05:00,925	563,2	
00:05:00,962	563,2	
00:05:00,999	563,2	
00:05:01,036	563,2	
00:05:01,073	563,3	
00:05:01,110	563,3	
00:05:01,147	563,3	
00:05:01,184	563,3	
00:05:01,221	563,3	
00:05:01,258	563,3	
00:05:01,295	563,3	
00:05:01,333	563,3	
00:05:01,370	563,3	
00:05:01,407	563,4	
00:05:01,444	563,4	
00:05:01,481	563,4	
00:05:01,518	563,4	
00:05:01,555	563,4	
00:05:01,592	563,4	
00:05:01,629	563,4	
00:05:01,666	563,4	
00:05:01,703	563,4	
00:05:01,740	563,4	
00:05:01,777	563,5	
00:05:01,814	563,5	
00:05:01,851	563,5	
00:05:01,888	563,5	
00:05:01,925	563,5	
00:05:01,962	563,5	
00:05:01,999	563,5	
00:05:02,036	563,5	
00:05:02,073	563,6	
00:05:02,110	563,6	
00:05:02,147	563,6	
00:05:02,184	563,6	
00:05:02,221	563,6	
00:05:02,258	563,6	
00:05:02,295	563,6	
00:05:02,333	563,6	
00:05:02,370	563,6	
00:05:02,407	563,7	
00:05:02,444	563,7	
00:05:02,481	563,7	
00:05:02,518	563,7	
00:05:02,555	563,7	
00:05:02,592	563,7	
00:05:02,629	563,7	
00:05:02,666	563,7	
00:05:02,703	563,7	
00:05:02,740	563,7	
00:05:02,777	563,8	
00:05:02,814	563,8	
00:05:02,851	563,8	
00:05:02,888	563,8	
00:05:02,925	563,8	
00:05:02,962	563,8	
00:05:02,999	563,8	
00:05:03,036	563,8	
00:05:03,073	563,9	
00:05:03,110	563,9	
00:05:03,147	563,9	
00:05:03,184	563,9	
00:05:03,221	563,9	
00:05:03,258	563,9	
00:05:03,295	563,9	
00:05:03,333	563,9	
00:05:03,370	563,9	
00:05:03,407	564,0	
00:05:03,444	564,0	
00:05:03,481	564,0	
00:05:03,518	564,0	
00:05:03,555	564,0	
00:05:03,592	564,0	
00:05:03,629	564,0	
00:05:03,666	564,0	
00:05:03,703	564,0	
00:05:03,740	564,1	
00:05:03,777	564,1	
00:05:03,814	564,1	
00:05:03,851	564,1	
00:05:03,888	564,1	
00:05:03,925	564,1	
00:05:03,962	564,1	
00:05:03,999	564,1	
00:05:04,036	564,1	
00:05:04,073	564,2	
00:05:04,110	564,2	
00:05:04,147	564,2	
00:05:04,184	564,2	
00:05:04,221	564,2	
00:05:04,258	564,2	
00:05:04,295	564,2	
00:05:04,333	564,2	
00:05:04,370	564,2	
00:05:04,407	564,3	
00:05:04,444	564,3	
00:05:04,481	564,3	
00:05:04,518	564,3	
00:05:04,555	564,3	
00:05:04,592	564,3	
00:05:04,629	564,3	
00:05:04,666	564,3	
00:05:04,703	564,3	
00:05:04,740	564,4	
00:05:04,777	564,4	
00:05:04,814	564,4	
00:05:04,851	564,4	
00:05:04,888	564,4	
00:05:04,925	564,4	
00:05:04,962	564,4	
00:05:04,999	564,4	
00:05:05,036	564,4	
00:05:05,073	564,5	
00:05:05,110	564,5	
00:05:05,147	564,5	
00:05:05,184	564,5	
00:05:05,221	564,5	
00:05:05,258	564,5	
00:05:05,295	564,5	
00:05:05,333	564,5	
00:05:05,370	564,5	
00:05:05,407	564,6	
00:05:05,444	564,6	
00:05:05,481	564,6	
00:05:05,518	564,6	
00:05:05,555	564,6	
00:05:05,592	564,6	
00:05:05,629	564,6	
00:05:05,666	564,6	
00:05:05,703	564,6	
00:05:05,740	564,7	
00:05:05,777	564,7	
00:05:05,814	564,7	
00:05:05,851	564,7	
00:05:05,888	564,7	
00:05:05,925	564,7	
00:05:05,962	564,7	
00:05:05,999	564,7	
00:05:06,036	564,7	
00:05:06,073	564,8	
00:05:06,110	564,8	
00:05:06,147	564,8	
00:05:06,184	564,8	
00:05:06,221	564,8	
00:05:06,258	564,8	
00:05:06,295	564,8	
00:05:06,333	564,8	
00:05:06,370	564,8	
00:05:06,407	564,9	
00:05:06,444	564,9	
00:05:06,481	564,9	
00:05:06,518	564,9	
00:05:06,555	564,9	
00:05:06,592	564,9	
00:05:06,629	564,9	
00:05:06,666	564,9	
00:05:06,703	564,9	
00:05:06,740	565,0	
00:05:06,777	565,0	
00:05:06,814	565,0	
00:05:06,851	565,0	
00:05:06,888	565,0	
00:05:06,925	565,0	
00:05:06,962	565,0	
00:05:06,999	565,0	
00:05:07,036	565,0	
00:05:07,073	565,1	
00:05:07,110	565,1	
00:05:07,147	565,1	
00:05:07,184	565,1	
00:05:07,221	565,1	
00:05:07,258	565,1	
00:05:07,295	565,1	
00:05:07,333	565,1	
00:05:07,370	565,1	
00:05:07,407	565,2	
00:05:07,444	565,2	
00:05:07,481	565,2	
00:05:07,518	565,2	
00:05:07,555	565,2	
00:05:07,592	565,2	
00:05:07,629	565,2	
00:05:07,666	565,2	
00:05:07,703	565,2	
00:05:07,740	565,2	
00:05:07,777	565,3	
00:05:07,814	565,3	
00:05:07,851	565,3	
00:05:07,888	565,3	
00:05:07,925	565,3	
00:05:07,962	565,3	
00:05:07,999	565,3	
00:05:08,036	565,3	
00:05:08,073	565,3	
00:05:08,110	565,4	
00:05:08,147	565,4	
00:05:08,184	565,4	
00:05:08,221	565,4	
00:05:08,258	565,4	
00:05:08,295	565,4	
00:05:08,333	565,4	
00:05:08,370	565,4	
00:05:08,407	565,4	
00:05:08,444	565,5	
00:05:08,481	565,5	
00:05:08,518	565,5	
00:05:08,555	565,5	
00:05:08,592	565,5	
00:05:08,629	565,5	
00:05:08,666	565,5	
00:05:08,703	565,5	
00:05:08,740	565,5	
00:05:08,777	565,6	
00:05:08,814	565,6	
00:05:08,851	565,6	
00:05:08,888	565,6	
00:05:08,925	565,6	
00:05:08,962	565,6	
00:05:08,999	565,6	
00:05:09,036	565,6	
00:05:09,073	565,6	
00:05:09,110	565,7	
00:05:09,147	565,7	
00:05:09,184	565,7	
00:05:09,221	565,7	
00:05:09,258	565,7	
00:05:09,295	565,7	
00:05:09,333	565,7	
00:05:09,370	565,7	
00:05:09,407	565,7	
00:05:09,444	565,8	
00:05:09,481	565,8	
00:05:09,518	565,8	
00:05:09,555	565,8	
00:05:09,592	565,8	
00:05:09,629	565,8	
00:05:09,666	565,8	
00:05:09,703	565,8	
00:05:09,740	565,8	
00:05:09,777	565,9	
00:05:09,814	565,9	
00:05:09,851	565,9	
00:05:09,888	565,9	
00:05:09,925	565,9	
00:05:09,962	565,9	
00:05:09,999	565,9	
00:05:10,036	565,9	
00:05:10,073	565,9	
00:05:10,110	566,0	
00:05:10,147	566,0	
00:05:10,184	566,0	
00:05:10,221	566,0	
00:05:10,258	566,0	
00:05:10,295	566,0	
00:05:10,333	566,0	
00:05:10,370	566,0	
00:05:10,407	566,0	
00:05:10,444	566,1	
00:05:10,481	566,1	
00:05:10,518	566,1	
00:05:10,555	566,1	
00:05:10,592	566,1	
00:05:10,629	566,1	
00:05:10,666	566,1	
00:05:10,703	566,1	
00:05:10,740	566,1	
00:05:10,777	566,2	
00:05:10,814	566,2	
00:05:10,851	566,2	
00:05:10,888	566,2	
00:05:10,925	566,2	
00:05:10,962	566,3	
00:05:10,999	566,3	
00:05:11,036	566,4	
00:05:11,073	566,4	
00:05:11,110	566,5	
00:05:11,147	566,5	
00:05:11,184	566,6	
00:05:11,221	566,6	
